X,col,row,line,line_id,rep,unit,g_alias,treatment,timestamp,Date,DAP,xDAP,Time,Date_Time_APM,APM,Digital.biomass,greenness,Height_mm,Height.Max_mm,hue.average,Leaf.angle,Leaf.area,Leaf.area.index,Leaf.area.projected,Leaf.inclination,Light.penetration.depth,NDVI,NPCI,PSRI
2,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/10/15 11:42,2021/10/15,3,-21,11:42,2021-10-15 上午,上午,8881.62,0.33889,16.031,18.22,106.691,53.037,554.021,0.002,440.623,1.2515,5.171,0.57181,0.17842,0.0772
3,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/10/16 11:42,2021/10/16,4,-20,11:42,2021-10-16 上午,上午,16469.7,0.31855,18.614,21.952,104.199,53.192,884.811,0.003,708.046,1.24897,7.642,0.53112,0.19117,0.09597
4,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/10/17 11:42,2021/10/17,5,-19,11:42,2021-10-17 上午,上午,51690.1,0.33372,23.218,29.794,102.915,54.138,2226.33,0.007,1804.98,1.2339,11.734,0.53626,0.20966,0.10438
5,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/10/18 11:42,2021/10/18,6,-18,11:42,2021-10-18 上午,上午,89824.3,0.33192,24.296,31.234,101.897,56.518,3697.01,0.012,3078.77,1.19895,9.989,0.52824,0.2204,0.11189
6,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/10/19 11:42,2021/10/19,7,-17,11:42,2021-10-19 上午,上午,126148,0.35775,31.354,38.529,105.403,50.325,4023.38,0.013,3099.4,1.29923,17.471,0.57911,0.20699,0.08936
7,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/10/20 13:41,2021/10/20,8,-16,13:41,2021-10-20 下午,下午,212237,0.33141,36.748,51.321,109.159,48.087,5775.41,0.018,4292.31,1.34378,21.887,0.59651,0.1668,0.08235
8,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/10/21 11:19,2021/10/21,9,-15,11:19,2021-10-21 上午,上午,342679,0.33191,45.823,51.988,111.288,49.547,7478.33,0.023,5695.36,1.31415,29.178,0.60468,0.13802,0.06569
9,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/10/22 11:19,2021/10/22,10,-14,11:19,2021-10-22 上午,上午,307335,0.40555,51.868,58.275,102.003,48.572,5925.3,0.019,4444.51,1.33368,33.686,0.60896,0.28718,0.10503
10,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/10/23 11:19,2021/10/23,11,-13,11:19,2021-10-23 上午,上午,670226,0.32652,55.334,69.692,108.552,53.417,12112.3,0.038,9723.58,1.24532,34.242,0.59839,0.16249,0.07465
11,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/10/24 11:19,2021/10/24,12,-12,11:19,2021-10-24 上午,上午,1062250,0.39438,61.467,72.972,106.286,54.914,17281.6,0.054,14135.5,1.22204,33.338,0.64368,0.21484,0.06993
12,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/10/25 11:19,2021/10/25,13,-11,11:19,2021-10-25 上午,上午,1232770,0.3113,69.72,95.107,112.507,49.393,17681.9,0.055,13418.3,1.31717,45.644,0.61474,0.12825,0.07778
13,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/10/26 11:19,2021/10/26,14,-10,11:19,2021-10-26 上午,上午,1945140,0.38116,77.813,109.429,107.876,47.952,24997.6,0.078,18552.7,1.34663,49.796,0.64881,0.19895,0.06463
14,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/10/27 11:19,2021/10/27,15,-9,11:19,2021-10-27 上午,上午,2484360,0.31304,94.559,117.192,115.339,42.005,26273.2,0.082,17576.1,1.4943,69.241,0.63729,0.10764,0.07238
15,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/10/28 11:19,2021/10/28,16,-8,11:19,2021-10-28 上午,上午,2543960,0.3234,109.39,116.371,114.203,42.529,23255.8,0.073,15719.7,1.47934,82.101,0.63699,0.12023,0.06725
16,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/10/29 11:19,2021/10/29,17,-7,11:19,2021-10-29 上午,上午,3339370,0.35179,131.365,140.954,109.867,44.862,25420.5,0.079,17922,1.4176,102.921,0.63204,0.16974,0.0638
17,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/10/30 11:20,2021/10/30,18,-6,11:20,2021-10-30 上午,上午,3968220,0.35718,136.395,160.76,112.485,41.938,29093.6,0.091,19415.4,1.49624,106.921,0.65121,0.15271,0.05161
18,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/10/31 11:20,2021/10/31,19,-5,11:20,2021-10-31 上午,上午,3605350,0.31948,158.042,171.637,115.762,40.439,22812.5,0.071,14765.5,1.54165,121.301,0.63487,0.10187,0.06417
19,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/1 11:19,2021/11/1,20,-4,11:19,2021-11-01 上午,上午,3286980,0.2465,176.192,194.652,123.835,42.12,18655.7,0.058,12493.6,1.49097,139.439,0.61857,0.03407,0.07312
20,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/1 13:46,2021/11/1,20,-4,13:46,2021-11-01 下午,下午,2895920,0.32892,174.981,185.556,115.751,42.412,16549.9,0.052,11191.7,1.48262,129.281,0.65183,0.1068,0.04881
21,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/2 14:20,2021/11/2,21,-3,14:20,2021-11-02 下午,下午,5207670,0.3502,193.948,226.582,117.221,42.091,26850.8,0.084,17850,1.4918,166.206,0.68494,0.10375,0.02687
22,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/3 11:41,2021/11/3,22,-2,11:41,2021-11-03 上午,上午,8693920,0.36798,222.432,253.543,114.389,44.891,39085.7,0.122,27413,1.41689,180.914,0.68045,0.13415,0.03546
23,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/4 11:12,2021/11/4,23,-1,11:12,2021-11-04 上午,上午,11382600,0.31535,247.442,265.461,120.251,40.984,46001,0.144,29905,1.5247,196.735,0.66828,0.06964,0.04871
24,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/5 12:16,2021/11/5,24,0,12:16,2021-11-05 下午,下午,10945100,0.29465,273.996,287.837,120.299,41.273,39946.4,0.125,26124.7,1.51591,239.664,0.65246,0.07067,0.04532
25,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/6 12:16,2021/11/6,25,1,12:16,2021-11-06 下午,下午,12715000,0.32591,297.801,324.629,121.183,41.853,42696.4,0.133,28292.6,1.4987,263.061,0.68061,0.0601,0.02354
26,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/7 12:16,2021/11/7,26,2,12:16,2021-11-07 下午,下午,14955000,0.29955,324.141,354.427,122.223,39.072,46137.3,0.144,28922.5,1.58649,277.36,0.66714,0.05126,0.05404
27,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/8 11:20,2021/11/8,27,3,11:20,2021-11-08 上午,上午,17651300,0.30489,355.401,372.107,122.233,39.413,49665.9,0.155,31351.4,1.57498,305.518,0.67466,0.05078,0.038
28,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/9 11:13,2021/11/9,28,4,11:13,2021-11-09 上午,上午,20702700,0.35696,375.684,388.652,115.983,43.151,55106.6,0.172,37352.5,1.46212,230.665,0.68721,0.11075,0.03804
29,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/10 11:13,2021/11/10,29,5,11:13,2021-11-10 上午,上午,28062600,0.38871,395.589,414.189,114.759,45.458,70938.6,0.222,49436.8,1.40301,229.057,0.7115,0.12372,0.0292
30,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/11 11:13,2021/11/11,30,6,11:13,2021-11-11 上午,上午,25251900,0.34217,408.215,428.931,117.159,43.921,61859.3,0.193,42345.4,1.44157,224.647,0.68487,0.08918,0.02549
31,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/12 11:13,2021/11/12,31,7,11:13,2021-11-12 上午,上午,27381900,0.35647,416.359,443.202,115.899,43.625,65765,0.206,44773.1,1.44938,195.53,0.69141,0.10349,0.03707
32,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/13 11:13,2021/11/13,32,8,11:13,2021-11-13 上午,上午,33098200,0.39521,427.533,459.125,114.247,45.675,77416.8,0.242,54469.6,1.39782,180.729,0.71879,0.12708,0.0283
33,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/14 11:13,2021/11/14,33,9,11:13,2021-11-14 上午,上午,31814700,0.35887,435.934,463.761,116.114,45.293,72980.5,0.228,50965.3,1.40701,174.898,0.70222,0.09648,0.03468
34,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/15 11:13,2021/11/15,34,10,11:13,2021-11-15 上午,上午,30840400,0.39924,450.921,479.718,113.875,44.984,68394.4,0.214,47380.8,1.41458,147.6,0.71758,0.12361,0.02907
35,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/16 11:13,2021/11/16,35,11,11:13,2021-11-16 上午,上午,28744500,0.37954,464.683,490.637,114.353,43.465,61858.2,0.193,41705.2,1.45363,124.462,0.7092,0.11821,0.04192
36,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/17 11:13,2021/11/17,36,12,11:13,2021-11-17 上午,上午,28941000,0.37942,474.906,500.78,113.835,43.218,60940.6,0.19,40901.4,1.46029,135.501,0.70946,0.12413,0.03593
37,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/18 11:13,2021/11/18,37,13,11:13,2021-11-18 上午,上午,31552200,0.4112,485.912,507.962,112.613,45.916,64933.9,0.203,45526,1.39211,131.956,0.72808,0.1375,0.03071
38,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/19 11:13,2021/11/19,38,14,11:13,2021-11-19 上午,上午,30847900,0.37015,496.4,511.4,113.698,44.023,62143.2,0.194,42430.2,1.43893,148.171,0.70028,0.11583,0.0455
39,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/20 11:13,2021/11/20,39,15,11:13,2021-11-20 上午,上午,30576200,0.38535,504.005,511.805,112.971,44.477,60666.4,0.19,41311.4,1.42726,150.76,0.70547,0.12212,0.02963
40,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/21 11:13,2021/11/21,40,16,11:13,2021-11-21 上午,上午,27692900,0.37408,500.462,511.798,112.798,43.959,55334.8,0.173,37529.5,1.44059,124.149,0.69981,0.12265,0.04912
41,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/22 11:13,2021/11/22,41,17,11:13,2021-11-22 上午,上午,27863200,0.36721,500.824,511.77,111.892,44.108,55634.9,0.174,37954.7,1.43673,120.491,0.69128,0.12877,0.04385
42,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/23 11:13,2021/11/23,42,18,11:13,2021-11-23 上午,上午,27405600,0.37332,501.21,512.125,110.649,47.356,54678.8,0.171,39472.5,1.35944,115.107,0.69029,0.13549,0.03883
43,1,9,Check1,Check1_1,1,01:09:01,pp,A,2021/11/24 11:14,2021/11/24,43,19,11:14,2021-11-24 上午,上午,28287800,0.36164,502.908,512.877,110.416,45.641,56248.4,0.176,39362.1,1.39863,112.666,0.67781,0.13511,0.0418
