"","genotype","DAP","variable","DAP.diffs","variable.AGR","variable.RGR","variable.smooth","variable.AGR.smooth","variable.RGR.smooth","Digital.biomass","col","row","line","rep"
"1","Check1_1",10,307335,NA,NA,NA,303424.4820158,NA,NA,307335,1,9,"Check1",1
"2","Check1_1",11,670226,1,362891,0.779676611073189,669837.703276968,364932.693062828,0.628445005092662,670226,1,9,"Check1",1
"3","Check1_1",12,1062250,1,392024,0.460529610054459,1036620.43559297,368146.954830549,0.499770951002412,1062250,1,9,"Check1",1
"4","Check1_1",13,1232770,1,170520,0.148874369867386,1404562.53968721,371562.206197039,0.386168329869793,1232770,1,9,"Check1",1
"5","Check1_1",14,1945140,1,712370,0.456070284034292,1773393.57887949,373556.165422121,0.295870202024557,1945140,1,9,"Check1",1
"6","Check1_1",15,2484360,1,539220,0.244681127192022,2135238.13400929,364816.378315349,0.222712008226017,2484360,1,9,"Check1",1
"7","Check1_1",16,2543960,1,59600,0.0237068409773402,2495616.43486647,359118.159781008,0.167933597627057,2543960,1,9,"Check1",1
"8","Check1_1",17,3339370,1,795410,0.272060244358785,2885108.56218822,383039.52353953,0.13457850174343,3339370,1,9,"Check1",1
"9","Check1_1",18,3968220,1,628850,0.172535464991468,3349715.03146431,452505.781295777,0.118428108985245,3968220,1,9,"Check1",1
"10","Check1_1",19,3605350,1,-362870,-0.0958987780311981,3973925.85849877,609970.184662555,0.12325824569382,3605350,1,9,"Check1",1
"11","Check1_1",20,3091450,1,-513900,-0.153778616895802,4881923.2603874,900433.114531969,0.155190502125808,3286980,1,9,"Check1",1
"12","Check1_1",20,3091450,1,-513900,-0.153778616895802,4881923.2603874,900433.114531969,0.155190502125808,2895920,1,9,"Check1",1
"13","Check1_1",21,5207670,1,2116220,0.521492302336305,6156905.32093974,1279830.74128041,0.200698738482034,5207670,1,9,"Check1",1
"14","Check1_1",22,8693920,1,3486250,0.51249139193255,7750627.17975788,1603432.1314195,0.226542666005071,8693920,1,9,"Check1",1
"15","Check1_1",23,11382600,1,2688680,0.269461942828486,9542861.85888689,1792755.7022748,0.221379959412099,11382600,1,9,"Check1",1
"16","Check1_1",24,10945100,1,-437500,-0.0391940060792786,11485665.6720078,1930195.69379898,0.200133558946967,10945100,1,9,"Check1",1
"17","Check1_1",25,12715000,1,1769900,0.149890531348944,13651445.3077366,2152017.62550618,0.181876030573882,12715000,1,9,"Check1",1
"18","Check1_1",26,14955000,1,2240000,0.162263293207828,16093041.0631495,2438821.45654745,0.16932432879188,14955000,1,9,"Check1",1
"19","Check1_1",27,17651300,1,2696300,0.165763742975978,18779249.3839177,2700185.68337923,0.158703813671759,17651300,1,9,"Check1",1
"20","Check1_1",28,20702700,1,3051400,0.159454691490166,21576352.3194539,2825182.37448384,0.145317241533865,20702700,1,9,"Check1",1
"21","Check1_1",29,28062600,1,7359900,0.304173602422456,24249558.6685733,2703088.46081615,0.125080675173326,28062600,1,9,"Check1",1
"22","Check1_1",30,25251900,1,-2810700,-0.105536328555343,26551397.8462502,2319511.26444603,0.0981177068480511,25251900,1,9,"Check1",1
"23","Check1_1",31,27381900,1,2130000,0.0809808107555441,28437331.6500219,1898773.1160417,0.0737166023292753,27381900,1,9,"Check1",1
"24","Check1_1",32,33098200,1,5716300,0.18959668906897,29824847.6312471,1393301.46421126,0.0502391057276071,33098200,1,9,"Check1",1
"25","Check1_1",33,31814700,1,-1283500,-0.0395504531137654,30596481.2326662,757611.167357233,0.0254379933110901,31814700,1,9,"Check1",1
"26","Check1_1",34,30840400,1,-974300,-0.0311029283462883,30840339.1538264,215332.503051687,0.00575206808845955,30840400,1,9,"Check1",1
"27","Check1_1",35,28744500,1,-2095900,-0.0703790741851064,30770709.149201,-97489.2955158807,-0.00512113491700006,28744500,1,9,"Check1",1
"28","Check1_1",36,28941000,1,196500,0.00681283026200372,30589390.0612834,-197475.059000976,-0.00830207495368791,28941000,1,9,"Check1",1
"29","Check1_1",37,31552200,1,2611200,0.0863840422860025,30347004.2013789,-253929.257823803,-0.00982359369148418,31552200,1,9,"Check1",1
"30","Check1_1",38,30847900,1,-704300,-0.0225746404208927,29979225.943035,-393758.100713187,-0.0141317986918502,30847900,1,9,"Check1",1
"31","Check1_1",39,30576200,1,-271700,-0.0088467481671419,29484435.4180967,-543281.47520297,-0.0188702948170029,30576200,1,9,"Check1",1
"32","Check1_1",40,27692900,1,-2883300,-0.0990458659057253,28950413.2080993,-596063.139100384,-0.0204291586181661,27692900,1,9,"Check1",1
"33","Check1_1",41,27863200,1,170300,0.006130759121342,28526652.8506417,-471794.363538171,-0.0160099950249434,27863200,1,9,"Check1",1
"34","Check1_1",42,27405600,1,-457600,-0.0165594496966999,28291263.4518319,-233312.485502998,-0.00772145523015895,27405600,1,9,"Check1",1
"35","Check1_1",43,28287800,1,882200,0.0316832442210818,28248061.7376262,57664.3349523982,0.00235163940741571,28287800,1,9,"Check1",1
"36","Check1_1",44,28464900,1,177100,0.00624113301613519,28336280.8151059,349236.613850289,0.0124018857347482,28464900,1,9,"Check1",1
"37","Check1_1",45,29125200,1,660300,0.022932029504449,28485913.8543994,639946.681342576,0.0224007394459209,29125200,1,9,"Check1",1
"38","Check1_2",10,361814,NA,NA,NA,124634.337090319,NA,NA,361814,2,5,"Check1",2
"39","Check1_2",11,755915,1,394101,0.736798668371562,532245.235211091,240432.957426887,0.592155232538096,755915,2,5,"Check1",2
"40","Check1_2",12,1287840,1,531925,0.532792739349485,965361.634451518,340626.882429258,0.484506159850466,1287840,2,5,"Check1",2
"41","Check1_2",13,1436920,1,149080,0.109535537645957,1468349.81002255,460139.884672792,0.392758680366392,1436920,2,5,"Check1",2
"42","Check1_2",14,2196160,1,759240,0.424208446728889,2108552.54445461,626198.40896207,0.331263969898603,2196160,2,5,"Check1",2
"43","Check1_2",15,2399650,1,203490,0.0886125126477192,2957703.48190125,850027.513377658,0.297134454987888,2399650,2,5,"Check1",2
"44","Check1_2",16,3448140,1,1048490,0.362512061839565,4083856.46549442,1135509.88050193,0.285423672434674,3448140,2,5,"Check1",2
"45","Check1_2",17,5047590,1,1599450,0.381075946429688,5511973.2399778,1442387.84029115,0.279637473192673,5047590,2,5,"Check1",2
"46","Check1_2",18,7017690,1,1970100,0.32952320240149,7211771.99549949,1715875.71984997,0.266784634193205,7017690,2,5,"Check1",2
"47","Check1_2",19,10093100,1,3075410,0.363417918007976,9111334.13318564,1915001.16730976,0.243346780957522,10093100,2,5,"Check1",2
"48","Check1_2",20,9615350,1,-477750,-0.0484912422302861,11134701.1048845,2039285.49247335,0.214003619023615,9615350,2,5,"Check1",2
"49","Check1_2",21,11660800,1,2045450,0.192872009369108,13240323.4222651,2129703.23639312,0.188319822211863,11660800,2,5,"Check1",2
"50","Check1_2",22,17637100,1,5976300,0.41377184876727,15283160.2314644,2070925.83216924,0.159774338786858,17637100,2,5,"Check1",2
"51","Check1_2",23,17265800,1,-371300,-0.0212769716832413,17033092.861456,1765820.24038418,0.122015306846294,17265800,2,5,"Check1",2
"52","Check1_2",24,19505600,1,2239800,0.121973937541323,18385199.6540667,1350213.41532028,0.0839414246052462,19505600,2,5,"Check1",2
"53","Check1_2",25,22033800,1,2528200,0.12187603416675,19302713.0158292,894459.830922136,0.0495509977699519,22033800,2,5,"Check1",2
"54","Check1_2",26,18712000,1,-3321800,-0.163412608713616,19864191.4562239,522024.131014609,0.0242563470046419,18712000,2,5,"Check1",2
"55","Check1_2",27,19451700,1,739700,0.038769440562077,20317118.2464207,418744.810671985,0.0159044378388598,19451700,2,5,"Check1",2
"56","Check1_2",28,16863900,1,-2587800,-0.142759227293856,20866349.1826136,537158.165649196,0.0209473601774754,16863900,2,5,"Check1",2
"57","Check1_2",29,23920500,1,7056600,0.3495605893239,21583357.6269298,731381.579843752,0.0313392198199014,23920500,2,5,"Check1",2
"58","Check1_2",30,22402900,1,-1517600,-0.0655454171070685,22314089.808206,753470.186693167,0.0335646600600408,22402900,2,5,"Check1",2
"59","Check1_2",31,21746600,1,-656300,-0.0297329912908506,22988960.011883,701632.859636212,0.0316732770017535,21746600,2,5,"Check1",2
"60","Check1_2",32,24038500,1,2291900,0.100199288237559,23560818.4657472,602280.86468829,0.0272750792828276,24038500,2,5,"Check1",2
"61","Check1_2",33,25074500,1,1036000,0.0421946817560901,23914207.6575317,377369.6196844,0.0172584056925044,25074500,2,5,"Check1",2
"62","Check1_2",34,24431400,1,-643100,-0.0259822032517825,23962032.9671281,54176.625345774,0.00294837741986508,24431400,2,5,"Check1",2
"63","Check1_2",35,24455700,1,24300,0.000994127366985728,23703818.4579089,-277051.107841371,-0.0118345402774318,24455700,2,5,"Check1",2
"64","Check1_2",36,23321000,1,-1134700,-0.0475090753753776,23197769.3921049,-557899.990272863,-0.0246264590313762,23321000,2,5,"Check1",2
"65","Check1_2",37,20899800,1,-2421200,-0.109614652662567,22557894.590642,-731083.238293112,-0.0329694509267407,20899800,2,5,"Check1",2
"66","Check1_2",38,22214700,1,1314900,0.0610146423607721,21891835.7634183,-803463.547792601,-0.0371016023476014,22214700,2,5,"Check1",2
"67","Check1_2",39,22636700,1,422000,0.0188182510859273,21211276.1855783,-872669.070923832,-0.0412848740575793,22636700,2,5,"Check1",2
"68","Check1_2",40,20181700,1,-2455000,-0.11479622979278,20544329.7417376,-895941.88157592,-0.0432482340606332,20181700,2,5,"Check1",2
"69","Check1_2",41,21214400,1,1032700,0.0499039431774097,20006918.1702007,-730848.519803535,-0.0360829066377817,21214400,2,5,"Check1",2
"70","Check1_2",42,17203700,1,-4010700,-0.209555719414029,19733177.0009708,-290337.386147379,-0.0153222018947779,17203700,2,5,"Check1",2
"71","Check1_2",43,17853000,1,649300,0.0370470843665367,19887428.589278,543757.900681698,0.0248726883102514,17853000,2,5,"Check1",2
"72","Check1_2",44,19928600,1,2075600,0.109984324566011,20464299.3940687,1663399.77144474,0.0785409041268317,19928600,2,5,"Check1",2
"73","Check1_2",45,23995100,1,4066500,0.185693756939592,21284823.1241536,2910575.92481337,0.137747599029836,23995100,2,5,"Check1",2
"74","Check1_3",10,117153,NA,NA,NA,204653.311456496,NA,NA,117153,4,5,"Check1",3
"75","Check1_3",11,610868,1,493715,1.65140012373134,497440.214928369,372882.403860292,1.13344553963997,610868,4,5,"Check1",3
"76","Check1_3",12,1410510,1,799642,0.836825723549549,783364.170636655,310776.440134105,0.783771650767517,1410510,4,5,"Check1",3
"77","Check1_3",13,1007800,1,-402710,-0.336181603854931,1073562.13426581,271418.488741901,0.493377324098379,1007800,4,5,"Check1",3
"78","Check1_3",15,1497650,2,244925,0.198063737835821,1887820.16147944,406854.672439745,0.220126611730125,1497650,4,5,"Check1",3
"79","Check1_3",17,3205450,2,853900,0.380477636598455,3356570.27373303,788871.859416302,0.200983708375533,3205450,4,5,"Check1",3
