"genotype","DAP","variable","DAP_interval","DAP_group","Digital.biomass","line"
"Check1_1",3,12999.1827906977,"0-4",2,8881.62,"Check1"
"Check1_1",4,12999.1827906977,"0-4",2,16469.7,"Check1"
"Check1_1",5,123872.53,"5-8",6.5,51690.1,"Check1"
"Check1_1",6,123872.53,"5-8",6.5,89824.3,"Check1"
"Check1_1",7,123872.53,"5-8",6.5,126148,"Check1"
"Check1_1",8,123872.53,"5-8",6.5,212237,"Check1"
"Check1_1",9,596209.37587007,"9-12",10.5,342679,"Check1"
"Check1_1",10,596209.37587007,"9-12",10.5,307335,"Check1"
"Check1_1",11,596209.37587007,"9-12",10.5,670226,"Check1"
"Check1_1",12,596209.37587007,"9-12",10.5,1062250,"Check1"
"Check1_1",13,2040205,"13-16",14.5,1232770,"Check1"
"Check1_1",14,2040205,"13-16",14.5,1945140,"Check1"
"Check1_1",15,2040205,"13-16",14.5,2484360,"Check1"
"Check1_1",16,2040205,"13-16",14.5,2543960,"Check1"
"Check1_1",17,3501097.5,"17-20",18.5,3339370,"Check1"
"Check1_1",18,3501097.5,"17-20",18.5,3968220,"Check1"
"Check1_1",19,3501097.5,"17-20",18.5,3605350,"Check1"
"Check1_1",20,3501097.5,"17-20",18.5,3286980,"Check1"
"Check1_1",20,3501097.5,"17-20",18.5,2895920,"Check1"
"Check1_1",21,9057322.5,"21-24",22.5,5207670,"Check1"
"Check1_1",22,9057322.5,"21-24",22.5,8693920,"Check1"
"Check1_1",23,9057322.5,"21-24",22.5,11382600,"Check1"
"Check1_1",24,9057322.5,"21-24",22.5,10945100,"Check1"
"Check1_1",25,16506000,"25-28",26.5,12715000,"Check1"
"Check1_1",26,16506000,"25-28",26.5,14955000,"Check1"
"Check1_1",27,16506000,"25-28",26.5,17651300,"Check1"
"Check1_1",28,16506000,"25-28",26.5,20702700,"Check1"
"Check1_1",29,28448650,"29-32",30.5,28062600,"Check1"
"Check1_1",30,28448650,"29-32",30.5,25251900,"Check1"
"Check1_1",31,28448650,"29-32",30.5,27381900,"Check1"
"Check1_1",32,28448650,"29-32",30.5,33098200,"Check1"
"Check1_1",33,30081137.1229698,"33-36",34.5,31814700,"Check1"
"Check1_1",34,30081137.1229698,"33-36",34.5,30840400,"Check1"
"Check1_1",35,30081137.1229698,"33-36",34.5,28744500,"Check1"
"Check1_1",36,30081137.1229698,"33-36",34.5,28941000,"Check1"
"Check1_1",37,30167300,"37-40",38.5,31552200,"Check1"
"Check1_1",38,30167300,"37-40",38.5,30847900,"Check1"
"Check1_1",39,30167300,"37-40",38.5,30576200,"Check1"
"Check1_1",40,30167300,"37-40",38.5,27692900,"Check1"
"Check1_1",41,28005375,"41-44",42.5,27863200,"Check1"
"Check1_1",42,28005375,"41-44",42.5,27405600,"Check1"
"Check1_1",43,28005375,"41-44",42.5,28287800,"Check1"
"Check1_1",44,28005375,"41-44",42.5,28464900,"Check1"
"Check1_2",6,19450.1675164474,"5-8",6.5,42.025,"Check1"
"Check1_2",7,19450.1675164474,"5-8",6.5,12315,"Check1"
"Check1_2",8,19450.1675164474,"5-8",6.5,44310.9,"Check1"
"Check1_2",9,643189.153132251,"9-12",10.5,162739,"Check1"
"Check1_2",10,643189.153132251,"9-12",10.5,361814,"Check1"
"Check1_2",11,643189.153132251,"9-12",10.5,755915,"Check1"
"Check1_2",12,643189.153132251,"9-12",10.5,1287840,"Check1"
"Check1_2",13,2343633.23529412,"13-16",14.5,1436920,"Check1"
"Check1_2",14,2343633.23529412,"13-16",14.5,2196160,"Check1"
"Check1_2",15,2343633.23529412,"13-16",14.5,2399650,"Check1"
"Check1_2",16,2343633.23529412,"13-16",14.5,3448140,"Check1"
"Check1_2",17,7943432.5,"17-20",18.5,5047590,"Check1"
"Check1_2",18,7943432.5,"17-20",18.5,7017690,"Check1"
"Check1_2",19,7943432.5,"17-20",18.5,10093100,"Check1"
"Check1_2",20,7943432.5,"17-20",18.5,9615350,"Check1"
"Check1_2",21,16517325,"21-24",22.5,11660800,"Check1"
"Check1_2",22,16517325,"21-24",22.5,17637100,"Check1"
"Check1_2",23,16517325,"21-24",22.5,17265800,"Check1"
"Check1_2",24,16517325,"21-24",22.5,19505600,"Check1"
"Check1_2",25,19265350,"25-28",26.5,22033800,"Check1"
"Check1_2",26,19265350,"25-28",26.5,18712000,"Check1"
"Check1_2",27,19265350,"25-28",26.5,19451700,"Check1"
"Check1_2",28,19265350,"25-28",26.5,16863900,"Check1"
"Check1_2",29,23027125,"29-32",30.5,23920500,"Check1"
"Check1_2",30,23027125,"29-32",30.5,22402900,"Check1"
"Check1_2",31,23027125,"29-32",30.5,21746600,"Check1"
"Check1_2",32,23027125,"29-32",30.5,24038500,"Check1"
"Check1_2",33,24318900.9280742,"33-36",34.5,25074500,"Check1"
"Check1_2",34,24318900.9280742,"33-36",34.5,24431400,"Check1"
"Check1_2",35,24318900.9280742,"33-36",34.5,24455700,"Check1"
"Check1_2",36,24318900.9280742,"33-36",34.5,23321000,"Check1"
"Check1_2",37,21483225,"37-40",38.5,20899800,"Check1"
"Check1_2",38,21483225,"37-40",38.5,22214700,"Check1"
"Check1_2",39,21483225,"37-40",38.5,22636700,"Check1"
"Check1_2",40,21483225,"37-40",38.5,20181700,"Check1"
"Check1_2",41,19049925,"41-44",42.5,21214400,"Check1"
"Check1_2",42,19049925,"41-44",42.5,17203700,"Check1"
"Check1_2",43,19049925,"41-44",42.5,17853000,"Check1"
"Check1_2",44,19049925,"41-44",42.5,19928600,"Check1"
"Check1_3",4,18.677,"0-4",2,18.677,"Check1"
"Check1_3",5,66567.4827179487,"5-8",6.5,3541.96,"Check1"
"Check1_3",6,66567.4827179487,"5-8",6.5,38942.9,"Check1"
"Check1_3",7,66567.4827179487,"5-8",6.5,65201.7,"Check1"
"Check1_3",8,66567.4827179487,"5-8",6.5,145035,"Check1"
"Check1_3",9,607533.406032483,"9-12",10.5,288650,"Check1"
"Check1_3",10,607533.406032483,"9-12",10.5,117153,"Check1"
"Check1_3",11,607533.406032483,"9-12",10.5,610868,"Check1"
"Check1_3",12,607533.406032483,"9-12",10.5,1410510,"Check1"
"Check1_3",13,1252725,"13-16",14.5,1007800,"Check1"
"Check1_3",15,1252725,"13-16",14.5,1497650,"Check1"
"Check1_3",17,4878528.75,"17-20",18.5,3205450,"Check1"
"Check1_3",18,4878528.75,"17-20",18.5,4948740,"Check1"
