"genotype","DAP","Digital.biomass","DAP.diffs","Digital.biomass.AGR","Digital.biomass.RGR","Digital.biomass.smooth","Digital.biomass.AGR.smooth","Digital.biomass.RGR.smooth","Digital.biomass","col","row","line","rep"
"Check1_1",3,8881.62,NA,NA,NA,-70209.0696523909,NA,NA,8881.62,1,9,"Check1",1
"Check1_1",4,16469.7,1,7588.08,0.617538356289669,-30587.1469870024,-9993.65766846116,0.787939193833374,16469.7,1,9,"Check1",1
"Check1_1",5,51690.1,1,35220.4,1.14374394472885,12984.8280545984,13068.0087853692,0.710432200790178,51690.1,1,9,"Check1",1
"Check1_1",6,89824.3,1,38134.2,0.552589266222266,66176.6004566873,37190.897658369,0.628018559927291,89824.3,1,9,"Check1",1
"Check1_1",7,126148,1,36323.7,0.339600280780975,136366.218483826,64181.753537468,0.549595218815053,126148,1,9,"Check1",1
"Check1_1",8,212237,1,86089,0.520247753968515,231864.243901633,95831.3758094132,0.483400822815564,212237,1,9,"Check1",1
"Check1_1",9,342679,1,130442,0.479090574129186,360701.737280178,132929.83360211,0.430360775939891,342679,1,9,"Check1",1
"Check1_1",10,307335,1,-35344,-0.108855791049923,530101.032023265,175690.883524906,0.391288965555622,307335,1,9,"Check1",1
"Check1_1",11,670226,1,362891,0.779676611073189,744905.597986166,222412.94270996,0.36477656872187,670226,1,9,"Check1",1
"Check1_1",12,1062250,1,392024,0.460529610054459,1002502.20574104,265512.127868134,0.336607718228103,1062250,1,9,"Check1",1
"Check1_1",13,1232770,1,170520,0.148874369867386,1296780.50026889,301381.038055326,0.303260362729503,1232770,1,9,"Check1",1
"Check1_1",14,1945140,1,712370,0.456070284034292,1622393.75968117,330705.056327328,0.267501469421122,1945140,1,9,"Check1",1
"Check1_1",15,2484360,1,539220,0.244681127192022,1974945.29976949,354029.754213338,0.22955056254321,2484360,1,9,"Check1",1
"Check1_1",16,2543960,1,59600,0.0237068409773402,2363193.40708642,385061.422238463,0.194750824169082,2543960,1,9,"Check1",1
"Check1_1",17,3339370,1,795410,0.272060244358785,2815151.79364529,444139.855252825,0.169094755707247,3339370,1,9,"Check1",1
"Check1_1",18,3968220,1,628850,0.172535464991468,3372129.74082948,545219.433476952,0.153859168059112,3968220,1,9,"Check1",1
"Check1_1",19,3605350,1,-362870,-0.0958987780311981,4097207.14676653,711944.890117344,0.152485029036577,3605350,1,9,"Check1",1
"Check1_1",20,3091450,1,-513900,-0.153778616895802,5071786.46945035,964740.321259867,0.167828229965428,3286980,1,9,"Check1",1
"Check1_1",20,3091450,1,-513900,-0.153778616895802,5071786.46945035,964740.321259867,0.167828229965428,2895920,1,9,"Check1",1
"Check1_1",21,5207670,1,2116220,0.521492302336305,6351889.65811958,1276658.69604365,0.191958886905696,5207670,1,9,"Check1",1
"Check1_1",22,8693920,1,3486250,0.51249139193255,7921112.59733204,1569560.32388839,0.206910883797923,8693920,1,9,"Check1",1
"Check1_1",23,11382600,1,2688680,0.269461942828486,9719221.95209864,1796899.56283728,0.205558837600034,11382600,1,9,"Check1",1
"Check1_1",24,10945100,1,-437500,-0.0391940060792786,11713346.0830082,1990328.63634398,0.194219056953654,10945100,1,9,"Check1",1
"Check1_1",25,12715000,1,1769900,0.149890531348944,13921094.0268038,2206954.3223669,0.181934894094834,12715000,1,9,"Check1",1
"Check1_1",26,14955000,1,2240000,0.162263293207828,16340232.4254198,2426808.87948273,0.170241275689071,14955000,1,9,"Check1",1
"Check1_1",27,17651300,1,2696300,0.165763742975978,18915671.6632763,2593668.29098838,0.157602430809518,17651300,1,9,"Check1",1
"Check1_1",28,20702700,1,3051400,0.159454691490166,21531636.809635,2642311.77035901,0.142018673598581,20702700,1,9,"Check1",1
"Check1_1",29,28062600,1,7359900,0.304173602422456,24017270.5488393,2512781.37940217,0.121840607356197,28062600,1,9,"Check1",1
"Check1_1",30,25251900,1,-2810700,-0.105536328555343,26197597.4166626,2199825.94536793,0.0975806047654628,25251900,1,9,"Check1",1
"Check1_1",31,27381900,1,2130000,0.0809808107555441,28006912.3101161,1821414.83958445,0.074281702344871,27381900,1,9,"Check1",1
"Check1_1",32,33098200,1,5716300,0.18959668906897,29376683.9931499,1371455.90440415,0.0517919681919547,33098200,1,9,"Check1",1
"Check1_1",33,31814700,1,-1283500,-0.0395504531137654,30240408.9358841,848607.926749748,0.0296404555986628,31814700,1,9,"Check1",1
